round,player_2,surface,court,age,atp_ranking,atp_points,name,hand,height,odd,AVG(ace),AVG(df),AVG(svpt),AVG(first_in),AVG(first_won),AVG(second_won),AVG(sv_gms),AVG(bp_saved),AVG(bp_faced)
R16,104999,Hard,Indoor,28.48459959,175,314,"Mischa Zverev",L,190,3.0,4.65116279069767,2.11627906976744,78.353488372093,50.7674418604651,34.7488372093023,13.3441860465116,11.306976744186,4.51627906976744,7.55813953488372
R32,106432,Grass,Outdoor,19.57837098,49,935,"Borna Coric",R,"",4.0,5.175,2.16875,75.325,45.8,32.70625,15.65,10.91875,3.7,6.125
R16,104660,Grass,Outdoor,30.43394935,100,590,"Sergiy Stakhovsky",R,193,3.0,5.89367816091954,2.3448275862069,72.0948275862069,44.6494252873563,31.9396551724138,13.5488505747126,11.0086206896552,3.71551724137931,6.13793103448276
R64,105223,Hard,Outdoor,28.04654346,63,770,"Juan Martin Del Potro",R,198,1.0,6.94063079777365,2.23191094619666,72.9628942486085,46.4489795918367,34.4712430426716,14.178107606679,11.3543599257885,3.11873840445269,4.92764378478664
R32,105332,Hard,Outdoor,27.42505133,47,960,"Benoit Paire",R,196,3.33333333333333,8.17465753424658,4.47260273972603,84.4897260273973,43.4041095890411,31.8767123287671,18.986301369863,12.2979452054795,4.8458904109589,8.20205479452055
R16,104792,Hard,Outdoor,30.10814511,8,3725,"Gael Monfils",R,193,1.0,8.10798122065728,3.31142410015649,77.1283255086072,47.697965571205,34.8450704225352,14.7214397496088,11.9311424100156,3.71830985915493,6.07198748043818
R128,105528,Grass,Outdoor,26.16016427,245,215,"Alexander Ward",U,"",10.3333333333333,6.0,2.0,89.0,60.0,41.5,15.0,13.0,5.0,7.5
R32,104797,Grass,Outdoor,29.80424367,116,531,"Denis Istomin",R,188,4.66666666666667,5.96411483253589,1.65789473684211,72.3732057416268,46.9258373205742,33.2272727272727,13.0813397129187,11.11004784689,3.7799043062201,6.1244019138756
R128,104660,Hard,Outdoor,30.03148528,60,780,"Sergiy Stakhovsky",R,193,5.66666666666667,5.83577712609971,2.34897360703812,71.9354838709677,44.6480938416422,31.9530791788856,13.4574780058651,10.9765395894428,3.72140762463343,6.12609970674487
R64,106000,Hard,Outdoor,23.66324435,81,661,"Damir Dzumhur",R,172,11.0,2.10416666666667,2.375,66.3541666666667,42.6458333333333,27.6041666666667,11.7291666666667,8.89583333333333,3.80208333333333,7.03125
R32,106233,Hard,Outdoor,22.37371663,20,1645,"Dominic Thiem",R,"",1.0,5.21860465116279,2.73488372093023,76.9255813953488,44.9302325581395,33.1767441860465,17.1581395348837,11.1209302325581,3.62325581395349,5.78139534883721
R16,104252,Hard,Indoor,33.0349076,55,823,"Florian Mayer",R,190,4.66666666666667,3.99358974358974,1.70299145299145,70.3076923076923,43.5277777777778,30.0042735042735,13.3760683760684,10.8482905982906,3.57692307692308,6.26495726495726
QF,105657,Hard,Indoor,26.00136893,198,275,"Marius Copil",R,193,5.66666666666667,9.03529411764706,2.37647058823529,65.9176470588235,37.7058823529412,28.4352941176471,14.6588235294118,9.87058823529412,2.94117647058824,4.76470588235294
R32,105064,Hard,Outdoor,28.01368925,37,1105,"Thomaz Bellucci",L,188,3.0,5.58776595744681,2.78723404255319,73.5558510638298,42.75,30.3058510638298,15.7420212765957,11.2553191489362,3.85904255319149,6.44946808510638
R16,105430,Clay,Outdoor,27.6988364134,132,418,"Radu Albot",U,"",5.0,1.75,2.3125,63.625,41.5125,26.4875,10.6,7.575,3.4375,6.475
R32,105376,Hard,Indoor,28.2737850787,69,758,"Peter Gojowczyk",R,185,3.0,7.44444444444444,3.9047619047619,79.4920634920635,43.6666666666667,32.9365079365079,17.047619047619,11.4126984126984,3.82539682539683,6.53968253968254
R16,111202,Hard,Indoor,21.4291581109,57,877,"Hyeon Chung",U,"",2.0,3.20588235294118,2.84313725490196,68.0294117647059,41.8627450980392,29.2843137254902,13.0588235294118,9.82352941176471,3.22549019607843,5.75490196078431
QF,106058,Hard,Indoor,25.0787132101,23,1900,"Jack Sock",R,185,3.0,6.67169811320755,4.28679245283019,79.211320754717,46.0301886792453,34.1358490566038,17.6301886792453,12.177358490566,3.77358490566038,5.93207547169811
R32,103852,Hard,Outdoor,36.0328542094,34,1295,"Feliciano Lopez",L,188,2.0,10.0618556701031,3.28980526918671,80.5979381443299,47.2680412371134,35.9369988545246,17.2497136311569,12.4982817869416,3.88430698739977,5.91523482245132
R16,105051,Hard,Outdoor,29.8507871321,139,419,"Matthew Ebden",R,188,6.0,5.28472222222222,4.5625,75.3194444444444,45.7708333333333,32.0486111111111,13.2847222222222,11.1527777777778,4.25694444444444,7.46527777777778
QF,104755,Hard,Outdoor,31.2908966461,30,1365,"Richard Gasquet",R,185,1.0,5.30612244897959,2.2844387755102,73.359693877551,45.3469387755102,33.202806122449,14.9885204081633,11.6632653061224,3.27295918367347,5.3469387755102
SF,106043,Hard,Outdoor,25.1279945243,29,1585,"Diego Sebastian Schwartzman",R,"",2.0,2.21212121212121,2.80606060606061,77.4484848484849,47.2787878787879,30.6969696969697,15.1151515151515,10.4787878787879,4.37575757575758,7.86666666666667
F,105173,Hard,Outdoor,29.2594113621,31,1335,"Adrian Mannarino",L,183,2.66666666666667,4.46815286624204,2.64649681528662,77.8057324840764,47.1369426751592,32.4363057324841,15.3949044585987,11.5732484076433,4.32802547770701,7.32802547770701
R16,104597,Hard,Indoor,32.076659822,131,435,"Nicolas Almagro",R,183,4.0,8.07248520710059,2.44970414201183,76.0547337278107,44.1686390532544,33.042899408284,16.8254437869822,12.0251479289941,3.45266272189349,5.57100591715976
R32,105723,Hard,Indoor,25.9767282683,54,835,"Andrey Kuznetsov",R,185,3.0,4.98026315789474,2.85526315789474,76.2368421052632,43.9013157894737,31.2171052631579,15.9934210526316,11.6907894736842,4.0,6.88815789473684
R16,104898,Hard,Indoor,29.8590006845,57,808,"Robin Haase",R,190,4.0,6.01719901719902,2.62407862407862,76.6044226044226,45.6805896805897,32.7788697788698,15.2014742014742,11.6584766584767,4.004914004914,6.63390663390663
QF,105777,Hard,Indoor,25.749486653,12,2925,"Grigor Dimitrov",R,188,1.0,6.99513381995134,3.15571776155718,77.3576642335766,48.0048661800487,35.8442822384428,15.2092457420925,12.0413625304136,3.54014598540146,5.669099756691
SF,105732,Hard,Indoor,25.9110198494,109,530,"Pierre Hugues Herbert",R,"",3.66666666666667,10.1686746987952,4.39759036144578,87.433734939759,50.6385542168675,37.9879518072289,18.9879518072289,11.9638554216867,4.08433734939759,6.39759036144578
R64,104327,Clay,"",33.0951403149,51,899,"Steve Darcis",R,178,5.0,3.65625,1.80803571428571,69.7410714285714,42.3794642857143,29.3839285714286,14.0267857142857,10.6919642857143,3.54017857142857,6.0625
R32,104597,Clay,"",31.6550308008,57,815,"Nicolas Almagro",R,183,4.0,8.10526315789474,2.45864661654135,76.2646616541353,44.2872180451128,33.1353383458647,16.9007518796992,12.0556390977444,3.47518796992481,5.58947368421053
R16,106233,Clay,"",23.6194387406,9,3385,"Dominic Thiem",R,"",1.0,5.55755395683453,2.79136690647482,76.9208633093525,45.2877697841727,33.5035971223022,16.9280575539568,11.4208633093525,3.56834532374101,5.71942446043165
QF,104925,Clay,"",29.9055441478,2,7905,"Novak Djokovic",R,188,1.0,5.13128205128205,2.15076923076923,73.8246153846154,47.7774358974359,35.0123076923077,14.4379487179487,11.76,3.26769230769231,4.99282051282051
R32,105932,Clay,Outdoor,25.1663244353,61,811,"Nikoloz Basilashvili",R,"",5.5,2.89473684210526,4.18421052631579,85.0,53.3289473684211,35.4736842105263,15.6973684210526,11.5131578947368,4.73684210526316,8.25
R16,105226,Clay,Outdoor,28.8021902806,174,313,"Attila Balazs",R,180,5.66666666666667,1.26923076923077,1.46153846153846,37.5769230769231,22.4615384615385,14.3076923076923,7.65384615384615,5.53846153846154,2.23076923076923,3.84615384615385
R32,104898,Hard,Outdoor,29.7440109514,59,795,"Robin Haase",R,190,4.66666666666667,5.94987468671679,2.59649122807018,76.5588972431078,45.6842105263158,32.7443609022556,15.1679197994987,11.6340852130326,4.02255639097744,6.64912280701754
RR,104745,Hard,Indoor,31.446954141,1,10645,"Rafael Nadal",L,185,1.0,2.83606557377049,1.51548269581056,70.1775956284153,48.1393442622951,34.5601092896175,12.5965391621129,11.155737704918,3.26138433515483,4.93169398907104
RR,106233,Hard,Indoor,24.1943874059,4,3815,"Dominic Thiem",R,"",1.0,5.66019417475728,2.80906148867314,77.0388349514563,45.3754045307443,33.663430420712,16.8899676375405,11.2783171521036,3.61812297734628,5.74433656957929
SF,103819,Hard,Indoor,36.2655715264,2,9005,"Roger Federer",R,185,1.0,7.50763358778626,1.70916030534351,73.7824427480916,45.9038167938931,35.6229007633588,15.9221374045802,12.0992366412214,2.75496183206107,4.07480916030534
R128,124187,Hard,Outdoor,19.3867214237,208,267,"Reilly Opelka",U,"",4.66666666666667,15.3076923076923,4.61538461538461,85.5384615384615,49.3076923076923,38.7692307692308,21.3076923076923,13.3076923076923,3.61538461538462,4.84615384615385
R64,103285,Hard,Outdoor,38.1382614648,102,595,"Radek Stepanek",R,185,3.66666666666667,5.95607613469985,2.92532942898975,74.5856515373353,46.3250366032211,33.7349926793558,14.3762811127379,11.7423133235725,3.62225475841874,5.85212298682284
R32,103333,Hard,Outdoor,37.8836413415,21,1795,"Ivo Karlovic",R,208,3.33333333333333,18.8691588785047,3.29906542056075,80.7741433021807,52.8598130841121,43.7227414330218,14.8333333333333,13.1308411214953,2.61993769470405,3.69470404984424
R16,106233,Hard,Outdoor,23.370294319,8,3415,"Dominic Thiem",R,"",2.0,5.56505576208178,2.82899628252788,77.0743494423792,45.3791821561338,33.5799256505576,16.9702602230483,11.4126394052045,3.56505576208178,5.71375464684015
R16,105430,Hard,Indoor,27.2388774812,92,615,"Radu Albot",U,"",8.33333333333333,1.49230769230769,2.23076923076923,59.1384615384615,38.6923076923077,24.4153846153846,9.64615384615385,7.07692307692308,3.32307692307692,6.30769230769231
QF,104327,Hard,Indoor,32.9034907598,59,787,"Steve Darcis",R,178,3.0,3.62844036697248,1.82110091743119,69.9770642201835,42.545871559633,29.4816513761468,14.1238532110092,10.7247706422018,3.55045871559633,6.06422018348624
SF,105138,Hard,Indoor,28.8158795346,16,2190,"Roberto Bautista Agut",R,"",1.33333333333333,2.99093655589124,1.96676737160121,77.3474320241692,51.0332326283988,35.2114803625378,14.0815709969789,11.5619335347432,4.13897280966767,6.62839879154079
R16,126207,Hard,Indoor,19.7371663244,79,650,"Francis Tiafoe",R,"",3.0,7.7962962962963,3.05555555555556,89.3888888888889,54.2592592592593,38.3888888888889,18.3518518518519,12.4074074074074,4.14814814814815,7.18518518518519
R32,103565,Hard,Outdoor,36.7830253251,80,660,"Stephane Robert",R,185,13.3333333333333,3.72897196261682,4.17757009345794,80.5046728971963,42.9065420560748,29.6168224299065,17.6542056074766,12.196261682243,4.69158878504673,8.42056074766355
R64,105064,Clay,Outdoor,29.3744010951,59,821,"Thomaz Bellucci",L,188,4.66666666666667,5.53640776699029,2.87864077669903,73.5218446601942,42.6820388349515,30.1747572815534,15.8252427184466,11.2985436893204,3.81310679611651,6.43446601941748
R32,104269,Clay,Outdoor,33.4976043806,37,1085,"Fernando Verdasco",L,188,2.0,5.20862470862471,3.90792540792541,78.025641025641,52.7412587412587,37.2855477855478,12.9440559440559,12.1142191142191,4.04195804195804,6.44055944055944
R64,111575,Clay,Outdoor,20.9637234771,42,940,"Karen Khachanov",R,"",3.0,8.35955056179775,3.15730337078652,82.6067415730337,48.1573033707865,35.8202247191011,17.7191011235955,10.7078651685393,3.74157303370787,6.1123595505618
R32,104252,Clay,Outdoor,33.5906913073,51,901,"Florian Mayer",R,190,8.0,4.02719665271966,1.70502092050209,70.510460251046,43.6213389121339,30.0753138075314,13.4476987447699,10.8702928870293,3.59414225941423,6.27824267782427
R16,105683,Clay,Outdoor,26.3627652293,6,4135,"Milos Raonic",R,196,1.0,13.9066059225513,2.94305239179954,73.9293849658314,46.4692482915718,37.6879271070615,15.0227790432802,12.0865603644647,2.56947608200456,3.68109339407745
R16,104468,Hard,Indoor,33.1088295688,64,815,"Gilles Simon",R,183,3.0,4.23828647925033,2.16867469879518,78.7443105756359,44.7309236947791,31.0522088353414,17.6372155287818,11.9236947791165,4.33601070950469,7.18072289156626
QF,111575,Hard,Indoor,21.711156742,49,1030,"Karen Khachanov",R,"",3.0,8.53913043478261,3.2695652173913,84.0608695652174,49.4260869565217,36.5739130434783,17.7391304347826,10.7913043478261,3.96521739130435,6.36521739130435
R32,103917,Hard,Indoor,36.0602327173,101,547,"Nicolas Mahut",R,190,5.33333333333333,7.7219387755102,3.52040816326531,79.8494897959184,48.5841836734694,35.6454081632653,15.7168367346939,12.2831632653061,3.7984693877551,6.21173469387755
R16,103852,Hard,Indoor,36.3969883641,37,1295,"Feliciano Lopez",L,188,4.33333333333333,10.0826727066818,3.2797281993205,80.4881087202718,47.2514156285391,35.9388448471121,17.1925254813137,12.4869762174405,3.87655719139298,5.90600226500566
QF,104607,Hard,Indoor,32.4052019165,17,2320,"Tomas Berdych",R,196,2.0,7.331589958159,2.32635983263598,72.0585774058577,41.7646443514644,32.1694560669456,15.9006276150628,11.4476987447699,3.17677824267782,4.98953974895398
R32,126774,Clay,Outdoor,19.6769336071,71,767,"Stefanos Tsitsipas",R,"",1.0,7.43478260869565,2.47826086956522,82.4565217391304,47.1739130434783,35.7608695652174,18.4347826086957,11.2391304347826,3.54347826086957,5.80434782608696
R16,105138,Clay,Outdoor,30.0041067762,16,2175,"Roberto Bautista Agut",R,"",1.0,2.96514745308311,1.94906166219839,77.1930294906166,50.9276139410188,35.2654155495979,14.0616621983914,11.5093833780161,4.01608579088472,6.50134048257373
R32,104719,Clay,Outdoor,32.0301163587,129,435,"Marcel Granollers",R,190,3.0,3.9953596287703,2.31322505800464,74.7865429234339,45.5893271461717,31.2320185614849,14.3781902552204,11.6032482598608,4.05336426914153,7.11136890951276
R16,111575,Clay,Outdoor,21.9219712526,37,1300,"Karen Khachanov",R,"",1.5,8.53968253968254,3.11111111111111,82.2460317460317,48.6428571428571,36.1349206349206,17.2777777777778,10.7619047619048,3.91269841269841,6.1984126984127
QF,105138,Clay,Outdoor,30.0232717317,15,2175,"Roberto Bautista Agut",R,"",2.0,2.94946808510638,1.9468085106383,77.1117021276596,50.8563829787234,35.2260638297872,14.0664893617021,11.5106382978723,4.00531914893617,6.48936170212766
R128,104897,Hard,Outdoor,30.7898699521,182,280,"Matthias Bachinger",R,188,12.5,6.58333333333333,2.86111111111111,78.2777777777778,45.7638888888889,33.0833333333333,15.4583333333333,12.0694444444444,4.34722222222222,7.19444444444444
R32,105732,Hard,Outdoor,27.3675564682,78,725,"Pierre Hugues Herbert",R,"",2.66666666666667,9.81739130434783,4.28695652173913,86.1565217391304,50.7652173913043,37.9391304347826,17.9391304347826,11.9913043478261,4.01739130434783,6.39130434782609
R16,126207,Hard,Outdoor,20.5229295003,41,1040,"Francis Tiafoe",R,"",1.66666666666667,7.77777777777778,3.06172839506173,85.9876543209877,52.1111111111111,37.2098765432099,17.641975308642,12.4691358024691,4.16049382716049,6.97530864197531
